"Title, Code, Price, URL, Translator, Blinding, Pages, Size in Inches, Description"
"Mushaf Madinah (Arabic-English, New Edition)",Q37b,$39.95,https://dusp.org/quran/noble-qurans/q37b-mushaf-madinah-arabic-english-new-edition.html,Dr. Muhsin Khan & Taqi-ud-Din Hilali,Hardback,1232,5.60x7.90x1.30,"Mushaf Madinah - Al-Quran Al-Kareem with Translation of The Meanings of The Noble Quran in The English Language from King Fahad Printing Complex. New edition is a little smaller in size but a little thicker. It has 2 color printing (black-blue color) on fine off-white color paper. The translation & tafsir (explanation) is same as all of Dar-us-Salam's Noble Qurans: Interpretation of the meanings of the Noble Qur'an with Arabic text in the modern English language. A summarized version of At-Tabari, Al-Qurtubi and Ibn Kathir with comments from Sahih Al-Bukhari. Summarized 1 volume version offers brief commentary and Ahadith wherever necessary. This unique combination of commentary and relevant Ahadith makes this a very useful study reference tool. ewr Al-Qur'an, the Guidance for mankind, is a unique translation of the Holy Qur'an in contemporary American English by Farooq Malik. Available in Arabic-English or English only from related items. ewr Standard size blue color Mushaf printed by Majamma Malik Fahad. Same Quran type found in many Masaajid around the world. Deluxe blue hardbound cover with fine paper and blue page background. ewr Standard size green color Mushaf printed by Majamma Malik Fahad. Same Quran type is found in many Masaajid around the world. Deluxe green hardbound cover with fine paper and green page background. ewr Large hardback edition of the easy to read modern English translation of The Noble Quran/Koran with Arabic text and brief explanations. Translation by Dr. Muhammad Muhsin Khan and Dr. Al-Hilal. ewr Medium hardback edition of the easy to read modern English translation of The Noble Quran/Koran with Arabic text and brief explanations. Translation by Dr. Muhammad Muhsin Khan and Dr. Al-Hilal. ewr The Qur'an - An Authentic, Accurate and Clear English Translation by Saheeh Intl. New format with full 15-line Uthmani Script Quran (604 page) with English translation around borders. Large... ewr The Clear Quran - English Translation Only - in Paperback. Pleasant to Read, Easy to Understand, Noted for its clarity, accuracy, eloquence, and flow. Approved by Al-Azhar, Endorsed by Al-Furqaan... ewr Mushaf Madinah - Al-Quran Al-Kareem with Translation of The Meanings of The Noble Quran in The English Language from King Fahad Printing Complex. Old edition is a little bigger in size but a little..."
Noble Quran Word-for-Word (3 Vol. Set),Q06,$139.95,https://dusp.org/quran/noble-qurans/q06-noble-quran-word-for-word-full-color-3-vol-set.html,No Translator,Hardback,578,7x9.5x1.2,"Complete Qur'an in 3 volumes (10 parts/book). Individual volumes also available from selection above. The first colored Word-for-Word English translation to understand the meanings of the Arabic verses along with grammatical terms. Each word is differently colored along with its meaning in the same color to facilitate learning each word while comprehending a block of words.Study the Noble Quran Word for Word (complete in 3 volumes) Compiled By: Dar-us-Salam. Translation by: Dr. Muhammad Taqi-ud-Din Al-Hilali and Dr. Muhammad Muhsin Khan To understand the Quran it is necessary that one should know the translation of every word of the verse. Therefore, to convey to the people, the more accurate meaning of the Qur'anic verses, the word-for-word translation of the meanings of the Noble Qur'an is produced. Since mere word-for-word translation itself does not lead to the complete understanding, the idiomatic translation is also produced on the same page to facilitate the complete awareness."
"Noble Qur'an Word for Word (3 Vol. Set, Old Edition)",Q11,$69.95,https://dusp.org/quran/noble-qurans/q11-noble-qur-an-word-for-word-3-vol-set-old-edition.html,Dr. Muhsin Khan & Dr. Taqi-ud-Din Hilali,Hardback,1388,7x10,"Study the Noble Qur'an Word-for-Word (3 Volume Set) Compiled By: Dar-us-Salam PublicationsTranslation by: Dr. Muhammad Taqi-ud-Din Al-Hilali and Dr. Muhammad Muhsin Khan For the first time word for word English translation to increase the awareness of the Arabic verses. To understand the Quran it is necessary that one should know the translation of every word of the verse. Therefore, to convey to the people, the more accurate meaning of the Qur'anic verses, the word-for-word translation of the meanings of the Noble Qur'an is produced. Since mere word-for-word translation itself does not lead to the complete understanding, the idiomatic translation is also produced on the same page to facilitate for the complete awareness. To understand the Qur'an, it is necessary that one should know the translation of every word of the Verses. It is very difficult to understand the Qur'an without knowledge of the meanings of the Arabic words. Therefore, to overcome this difficulty and to convey to the people the accurate meaning of the Qur'anic Verses, we are producing the word-for-word translation of the meanings of the Noble Qur’an. Since mere word-for-word translation itself does not lead to complete understanding, we have produced the idiomatic translation also in order to allow the readers to see the word-for-word translation of the Arabic Verses along with the idiomatic one on the same page. I remember from my childhood, when I was studying in the fourth grade, my teacher used to teach us the Qur'an along with its Urdu translation. We studied the necessary interpretation and the Arabic grammar. After about three years of study, I was able to recite on my own the first few parts of the Qur'an while understanding its meaning in the Urdu language. Whenever the Imam recited Verses from those parts in the congregational prayers at the mosque, I easily understood the meaning of the Verses. I felt great joy at being able to understand the recitation of the Imam. This memory initiated me to produce this translation of the meanings of the Noble Qur'an so that the readers and reciters of the Qur'an may extract more pleasure from the recitation by understanding its meanings. All the present English translations of the meanings of the Qur’an are idiomatic. Such translations are not designed to help the reader learn the meanings of each Arabic word. Therefore, the readers and reciters simply proceed forward without 'knowledge of the Arabic vocabulary used in the Verses. But when one knows the Meanings of each Arabic word of the Verse, then whether he himself recites the Qur’an, or listens to some other's recitation, he gets the pleasure of understanding it. The real marvel of the Qur'an comes with its understanding. The Qur'an itself emphasizes this point: (Surat Al-Qamar, 54:40) Also Allah has encouraged us to contemplate the meanings of the Qur'an. We receive blessings for its recital, but mere recital alone in melodious tone is not the goal of Qur'anic recitation. The intent of reading the Qur'an should be to reflect upon and understand the address of Allah Himself to mankind. Allah says: ""Do they not then think deeply (contemplate) in the Qur'an, or are their hearts locked up (from understanding it)?"" (Surat Muhammad, 47:24) If one approaches the Qur'an with the intent of reflecting upon its meanings, then he achieves the full objective of the Qur’an’s revelation, which is guidance for mankind. As Allah says: ""The month of Ramadan, in which the Qur’an was revealed as a guidance for mankind."" (Surat Al-Baqarah,2:185) It should also be noted that some Islamic scholars have certain reservations about the word-for-word translation, saying that such a translation may cause confusion in the minds of the readers. But other renowned scholars of the Indo-Pak Subcontinent have produced such translations in the Urdu language. The most popular one being done by Shah Rafiuddin, the son of Shah Waliullah. Until now, this translation is considered the best and the most authentic one. Hafiz Nazeer Ahmad, the former principal of Oriental College, Lahore, performed another recent word-for-word translation in the Urdu language. Some other scholars have also contributed in this regard. It may be that the native speakers of Arabic do not give much importance to the word-for-word translation, but they will know its importance if they ask any non-Arab Muslim about it. This will be especially clear after one has gone through this translation of the Qur’an which we have produced. After studying this translation, the native English speaker will relate how pleased he is with his increased understanding of the Qur'anic recitation. I must thank Mr, Aqeel Walker, Mr. Said Dabas, Mr. Syed Masoodul Hasan, Mr. Mohammad Ayub and Mr. Aziz-ur-Rahman who worked on this project. It should be particularly noted that in this compilation, we have produced with all its references, the translation of the interpretation of the meanings of the Noble Qur'an done by Dr. Muhammad Taqi-ud-Din Al-Hilali and Dr. Muhammad Muhsin Khan. We will be thankful for every comment, suggestion or advice by the readers and reciters of the Qur'an, that may help to improve this presentation. Abdul Malik MujahidGeneral Manager"
Noble Qur'an Arb/Eng with Transliteration in Roman Script,Q04,$29.95,https://dusp.org/quran/noble-qurans/q04-noble-qur-an-arb-eng-with-transliteration-in-roman-script.html,Dr. Muhsin Khan & Taqi-ud-Din Hilali,Hardback,752,7x10x1.8,"To read the Arabic text of the Qur'anic Verses in their correct form is of prime importance to every Muslim, as the meanings of the Arabic words are changed with little changes of the diacritics. So, to help those readers and reciters who are not too familiar with the Arabic language or cannot read Arabic, Darussalam has prepared this edition of the Noble Qur'an inserting the transliteration of the Noble verses along with their translation. It is hoped that this presentation will be of great help and benefit in this regard. All praise and thanks are Allah's, the Lord of Alamin (mankind, jinn and all that exists) and peace be upon the Master of the Messengers, Muhammad (S). This interpretation of the meanings of the Noble Qur'an has been revised and the following changes have been made: Translators: & Islam is a heavenly system (or regime) for all the dwellers of the earth, and it is a mighty treasure if only mankind realizes its authenticity and truth. And in what a great need the whole world is today for real understanding and thorough studying of its rules and regulations. And how many disasters, calamities and wars, the mankind of the whole world is suffering because of their differences in their Faith. Invitation to Islam is incumbent upon all those who have known it, and have enjoyed its taste and have been guided through its guidance. So we are presenting the interpretation of the meanings of the Noble Qur'an which is completed and printed with the Help of Allah. All praise and thanks are Allah's, with whose blessings are completed the righteous deeds. Peace. Blessings and Graces of Allah be upon our Prophet Muhammad, his family and his Companions. Allah has sent Qur'an to us through His Messenger Muhammad. This Noble Book provides us guidance in all respects whether it is a matter of life or death. It is incumbent upon us to recite the Noble Qur'an as much as we can, and as correct as we can. The Prophet Muhammad; has said: ""The best of you is he who learns the Qur'an and teaches it."" So, to learn it correctly and teach it correctly, we have to care about the correct pronunciation of the Arabic words. To provide ease with the correct pronunciation of the Arabic words, we are producing this special edition of the Noble Qur'an incorporating in it the transliteration of the Arabic Verses. It is hoped that this edition will help greatly in this regard. Lastly, I thank all the brothers who participated in the accomplishment of this colossal work particularly brother Abdul Ahad and brother Mohammad Munawar who checked and rechecked, again and again, the manuscript with great perseverance. May Allah the All-Mighty bestow on them a great reward in this world and in the Hereafter. ABDUL MALIK MUJAHID General Manager Darussalam, Publishers and Distributors"
Noble Qur'an with Full Page Arabic/English,Q34,$49.95,https://dusp.org/quran/noble-qurans/q34-noble-qur-an-with-full-page-arabic-english.html,Dr. Muhsin Khan & Dr. Taqi-ud-Din Al-Hilali,Hardback,1290 Fine paper,7x9.75x2.15,New type of Noble Quran with standard Arabic Mushaf Uthmani 15 lines/page print on the right side and English translation on the left side of every page. It includes tafsir footnotes on the bottom of the English page. It also includes the full appendix at the end of the Quran. Note about page numbering: The page numbers for the English and Arabic side are same at 605 (605x2=1210) followed by the appendix which is another 80 pages making a total of 1290 pages.
Noble Qur'an Arabic-English (Large HB),Q42,$34.95,https://dusp.org/quran/noble-qurans/q42-noble-qur-an-arb-eng-large-hb.html,Dr. Muhsin Khan & Taqi-ud-Din Hilali,Hardback,868,7x9.75x2.5,"and (click on names for biography) Interpretation of the meanings of the Noble Qur'an with Arabic text in the modern English language. A summarized version of At-Tabari, Al-Qurtubi and Ibn Kathir with comments from Sahih Al-Bukhari. This summarized 1 volume version offers brief commentary and Ahadith wherever necessary. This unique combination of commentary and relevant Ahadith makes this a very useful study reference tool. The Arabic text is taken from Mushaf al Madinah. Note: The content of all the Noble Qur'ans is the same... only the text size is different. The editions may vary slightly within the different sizes. Old code # for this item was Q01a. Alternate for Q43 / Q01b 6x9"" size."
"Noble Qur'an Arabic-English (6x9"" HB)",Q43,$31.95,https://dusp.org/quran/noble-qurans/q43b-noble-qur-an-arb-eng-6x9x17-hb-ivory.html,Dr. Muhsin Khan & Dr. Taqi-ud-Din Al-Hilali,Hardback,1183,6x8.8x1.5,"and (click on names for biography) Interpretation of the meanings of the Noble Qur'an with Arabic text in the modern English language. A summarized version of At-Tabari, Al-Qurtubi and Ibn Kathir with comments from Sahih Al-Bukhari. This 1 volume summarized version offers brief commentary and Ahadith wherever necessary. This unique combination of commentary and relevant Ahadith makes this a very useful study reference tool. The Arabic text is taken from Mushaf al Madinah."
Secrets Within the Order of the Qur'an,RB26,$29.95,https://dusp.org/quran/tafseer/rb26-secrets-within-the-order-of-the-qur-an.html,Adnan Karim,Hardback,336,6x8.5x1,"This unique book displays the genius of al-Suyūṭī in an exegesis of the Qurʾān. Through his deep reflection and knowledge of the Quran and its related sciences, he provides insights into why its chapters are ordered so and unveil intricacies to the reader which could only have been unearthed by one possessing such mastery and genius. The author states at many junctures within the book that he is displaying his reflections to the reader, so one is given the opportunity through this intimate writing style to ponder over the Qurʾān from the perspective of a true tafsīr master. From the back cover: Qatādah (d. 118) said, “By Allah, they would find in the Qurʾan that which would impede sinfulness, if only they contemplated upon it and comprehended it.” [Tafsīr al-Ṭabarī] Al-Shawkānī (d. 1250) said, “Al-Suyūṭī was a major imām and a prolific author. He was given authorization (ijāzah) by the major scholars of his time from different countries and towns. He excelled in the various sciences and surpassed his peers; he gained distinction and his acclaim spread far and wide. From his beneficial works are his two Jāmiʿ collections of ḥadīth, al-Durr al-Manthūr, and al-Itqān fī ʿUlūm al-Qurʾān.” [Summarized from his biography in al-Badr al-Ṭāliʿ (1/328-335)] The author said, “[I have aimed to produce an interesting book about a special theme]—that being the rationale of the order of the sūrahs—so it can help and save the time of one who is after such knowledge. Most of its content is from my own thoughts, contemplation, and insights since only a few people have touched upon this topic. I have explicitly given reference to that which I used from others, and I would only mention that which is good and would not make me subject to criticism.”"
Stretchy Cloth Book Cover,G40,$4.95,https://dusp.org/quran/noble-qurans/g40-stretchy-cloth-book-cover.html#/1-size-7x10,No Translator,No Blinding,No Pages,No Size in Inches,"The best and easiest way to protect your Quran, book. Stretchable, washable fabric book covers from Kittrich are easy to put on and easy to remove. Assorted solid colors. Colors may vary."
Selected Surahs & Supplications,Q12,$4.95,https://dusp.org/quran/noble-qurans/q12-selected-surahs-from-the-quran.html,No Translator,Paperback,136,4.5x6.5x0.25,"The renowned Muslim scholar, Sheikh Safiur-Rahman Al-Mubarakpuri, has produced this compilation by selecting some Surahs and their virtues along with authentic Supplications from Qur'an and Sunnah to be recited in the morning and evening. The Beautiful Names of Allah are also included in this booklet. Everyone can recite them in times of distress and need or can earn rewards by remembering Allah whenever he likes. This book includes the following Surahs: Al-Fatihah, Al-Kahf, As-Sajdah, Fussilat, Ad-Dukhan, Ar-Rahman, Al-Waqi'ah, Al-Hashr, Al-Mulk, Al-Insan, and Al-Buruj. It has Arabic in Uthmani Script on the right side of each page and the English translation on the left."
